id,Poster_Link,Series_Title,tag
55,"https://m.media-amazon.com/images/M/MV5BY2FiMTFmMzMtZDI2ZC00NDQyLWExYTUtOWNmZWM1ZDg5YjVjXkEyXkFqcGdeQXVyODIwMDI1NjM@._V1_UX67_CR0,0,67,98_AL_.jpg",Vikram Vedha,action crime dramavikram nononsense police officer accompanied simon partner hunt capture vedha smuggler murderer vedha try change vikrams life lead conflictgayatripushkarmadhavanvijay sethupathishraddha srinath
56,"https://m.media-amazon.com/images/M/MV5BODRmZDVmNzUtZDA4ZC00NjhkLWI2M2UtN2M0ZDIzNDcxYThjL2ltYWdlXkEyXkFqcGdeQXVyNTk0MzMzODA@._V1_UX67_CR0,0,67,98_AL_.jpg",Kimi no na wa.,animation drama fantasytwo stranger find linked bizarre way connection form distance thing keep apartmakoto shinkairyûnosuke kamikimone kamishiraishiryô naritaaoi yûki
57,"https://m.media-amazon.com/images/M/MV5BMTQ4MzQzMzM2Nl5BMl5BanBnXkFtZTgwMTQ1NzU3MDI@._V1_UY98_CR1,0,67,98_AL_.jpg",Dangal,action biography dramaformer wrestler mahavir singh phogat two wrestler daughter struggle towards glory commonwealth game face societal oppressionnitesh tiwariaamir khansakshi tanwarfatima sana shaikhsanya malhotra
58,"https://m.media-amazon.com/images/M/MV5BMjMwNDkxMTgzOF5BMl5BanBnXkFtZTgwNTkwNTQ3NjM@._V1_UX67_CR0,0,67,98_AL_.jpg",Spider-Man: Into the Spider-Verse,animation action adventureteen mile morale becomes spiderman universe must join five spiderpowered individual dimension stop threat realitiesbob persichettipeter ramseyrodney rothmanshameik moorejake johnson
59,"https://m.media-amazon.com/images/M/MV5BMTc5MDE2ODcwNV5BMl5BanBnXkFtZTgwMzI2NzQ2NzM@._V1_UX67_CR0,0,67,98_AL_.jpg",Avengers: Endgame,action adventure dramaafter devastating event avenger infinity war universe ruin help remaining ally avenger assemble order reverse thanos action restore balance universeanthony russojoe russorobert downey jrchris evansmark ruffalo
60,"https://m.media-amazon.com/images/M/MV5BMjMxNjY2MDU1OV5BMl5BanBnXkFtZTgwNzY1MTUwNTM@._V1_UX67_CR0,0,67,98_AL_.jpg",Avengers: Infinity War,action adventure scifithe avenger ally must willing sacrifice attempt defeat powerful thanos blitz devastation ruin put end universeanthony russojoe russorobert downey jrchris hemsworthmark ruffalo
61,"https://m.media-amazon.com/images/M/MV5BYjQ5NjM0Y2YtNjZkNC00ZDhkLWJjMWItN2QyNzFkMDE3ZjAxXkEyXkFqcGdeQXVyODIxMzk5NjA@._V1_UY98_CR1,0,67,98_AL_.jpg",Coco,animation adventure familyaspiring musician miguel confronted family ancestral ban music enters land dead find greatgreatgrandfather legendary singerlee unkrichadrian molinaanthony gonzalezgael garcía bernalbenjamin bratt
62,"https://m.media-amazon.com/images/M/MV5BMjIyNTQ5NjQ1OV5BMl5BanBnXkFtZTcwODg1MDU4OA@@._V1_UX67_CR0,0,67,98_AL_.jpg",Django Unchained,drama westernwith help german bounty hunter freed slave set rescue wife brutal mississippi plantation ownerquentin tarantinojamie foxxchristoph waltzleonardo dicapriokerry washington
63,"https://m.media-amazon.com/images/M/MV5BMTk4ODQzNDY3Ml5BMl5BanBnXkFtZTcwODA0NTM4Nw@@._V1_UX67_CR0,0,67,98_AL_.jpg",The Dark Knight Rises,action adventureeight year joker reign anarchy batman help enigmatic catwoman forced exile save gotham city brutal guerrilla terrorist banechristopher nolanchristian baletom hardyanne hathawaygary oldman
64,"https://m.media-amazon.com/images/M/MV5BNTkyOGVjMGEtNmQzZi00NzFlLTlhOWQtODYyMDc2ZGJmYzFhXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UY98_CR0,0,67,98_AL_.jpg",3 Idiots,comedy dramatwo friend searching long lost companion revisit college day recall memory friend inspired think differently even rest world called idiotsrajkumar hiraniaamir khanmadhavanmona singhsharman joshi
65,"https://m.media-amazon.com/images/M/MV5BMDhjZWViN2MtNzgxOS00NmI4LThiZDQtZDI3MzM4MDE4NTc0XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UY98_CR1,0,67,98_AL_.jpg",Taare Zameen Par,drama familyan eightyearold boy thought lazy troublemaker new art teacher patience compassion discover real problem behind struggle schoolaamir khanamole guptedarsheel safaryaamir khantisca chopra
66,"https://m.media-amazon.com/images/M/MV5BMjExMTg5OTU0NF5BMl5BanBnXkFtZTcwMjMxMzMzMw@@._V1_UX67_CR0,0,67,98_AL_.jpg",WALL·E,animation adventure familyin distant future small wastecollecting robot inadvertently embarks space journey ultimately decide fate mankindandrew stantonben burttelissa knightjeff garlinfred willard
67,"https://m.media-amazon.com/images/M/MV5BOThkM2EzYmMtNDE3NS00NjlhLTg4YzktYTdhNzgyOWY3ZDYzXkEyXkFqcGdeQXVyNzQzNzQxNzI@._V1_UY98_CR1,0,67,98_AL_.jpg",The Lives of Others,drama mystery thrillerin east berlin agent secret police conducting surveillance writer lover find becoming increasingly absorbed livesflorian henckel von donnersmarckulrich mühemartina gedecksebastian kochulrich tukur
